         nl   nt   nr   sr   st   sl   el   et   er   wr   wt   wl
 17584    0    0    0    0    0    0    0    0    0    0    0    0
 17585    0    0    0    0    0    0    0    0    0    0    0    0
 17596    0    0    0    0    0    0    0    0    0    0    0    0
 17597    0    0    0    0    0    0    0    0    0    0    0    0
 17598    0 1027  343   31 2496  224    8  106   26  250   81  398
 17601    0    0    0    0    0    0    0    0    0    0    0    0
 17604    0    0    0    0    0    0    0    0    0    0    0    0
 17606    0 1144   11   -3 2524   22   37   30   24   58   25   78
 17662    9  152   67   -6  552   87    5    0    3   61   11   62
 17856    0    0    0    0    0    0    0    0    0    0    0    0
 17927    0    0    0    0    0    0    0    0    0    0    0    0
 17936    5    0  154    0    0    0    0 1333   -6    0  398  100
 17961  151    0    0    0    0    0    0    0  482    0    0    0
 17963    0    0    0    0    0    0    0    0    0    0    0    0
 17967    0    0    0    0    0    0    0    0    0    0    0    0
 18363    0    0    0    0    0    0    0    0    0    0    0    0
